web-scraper-order,web-scraper-start-url,article_ordinateurs_links,article_ordinateurs_links-href,etat_ordinateur,marque_ordinateur,couleur_ordinateurs,processeur_ordinateur,ram_ordinateur,stockage_ordinateur,prix_ordinateur
1738673323-22,https://www.expat-dakar.com/ordinateurs?page=244,"HP PROBOOK 640 G4 I5
                                RéconditionnéHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 20:14
                                    
                    150 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/hp-probook-640-g4-i5-4094571,Réconditionné,HP,GRIS NOIR,CORE I5,8go,256ssd,150 000 F Cfa
1738673331-25,https://www.expat-dakar.com/ordinateurs?page=244,"GAMER I7
                                RéconditionnéDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 19:18
                                    
                    350 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/gamer-i7-3407093,Réconditionné,Dell,Noir,CORE I7,16GO,756GO,350 000 F Cfa
1738673354-33,https://www.expat-dakar.com/ordinateurs?page=243,"UC Lenovo core i5
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        lundi, 18:45
                                    
                    60 000 F Cfa
                        
                        775579621
                    
                        779451952
                    
                        338421708",https://www.expat-dakar.com/annonce/uc-lenovo-core-i5-4433827,Neuf,Lenovo,Noire,i5 (3.5 GHz),4,500,60 000 F Cfa
1738673390-46,https://www.expat-dakar.com/ordinateurs?page=242,"GAMER HP Z420.16GO.GTX1650
                                D'occasionHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 16:41
                                    
                    300 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/gamer-hp-z42016gogtx1650-3402582,D'occasion,HP,Noir,2.80GO,16GO,1000GO,300 000 F Cfa
1738673404-50,https://www.expat-dakar.com/ordinateurs?page=241,"GAMER Z620.640 GTX 1650
                                RéconditionnéHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 16:39
                                    
                    350 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/gamer-z620640-gtx-1650-3564189,Réconditionné,HP,Noir,2.40ghz,16Go,756go,350 000 F Cfa
1738673406-51,https://www.expat-dakar.com/ordinateurs?page=241,"GAMER HP  Z420 +24"" Nvidia 4go+16go 256go
                                D'occasionHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 19:07
                                    
                    200 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/gamer-hp-z420-24-nvidia-4go16go-256go-3568303,D'occasion,HP,Noir,2.80ghz,16go,256ssd +500go,200 000 F Cfa
1738673409-52,https://www.expat-dakar.com/ordinateurs?page=241,"Hp 6300 core i7+ 19""
                                NeufHP
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        dimanche, 19:02
                                    
                    290 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/hp-6300-core-i7-19-2746007,Neuf,HP,Noire,3.6GHZ,8GO,500GO,290 000 F Cfa
1738673414-54,https://www.expat-dakar.com/ordinateurs?page=241,"Hp 6300 core i3+ 19""
                                NeufHP
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        dimanche, 18:59
                                    
                    225 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/hp-6300-core-i3-19-2746628,Neuf,HP,Noire,3.3GHZ,4GO,500GO,225 000 F Cfa
1738673419-56,https://www.expat-dakar.com/ordinateurs?page=241,"ALL IN ONE.Core I5.24""Tactile
                                NeufHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 20:05
                                    
                    600 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/all-in-onecore-i524tactile-4094871,Neuf,HP,NOIR,3.6ghz,8go,1000go,600 000 F Cfa
1738673422-57,https://www.expat-dakar.com/ordinateurs?page=241,"Core I7.8GO.22""wifi
                                RéconditionnéLenovo
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 20:04
                                    
                    90 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/core-i78go22wifi-3789098,Réconditionné,Lenovo,Noir,3.40GHZ,8go,500GO,90 000 F Cfa
1738673424-58,https://www.expat-dakar.com/ordinateurs?page=241,"DELL ALL IN ONE.I5.24""
                                D'occasionDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 20:03
                                    
                    170 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/dell-all-in-onei524-4098580,D'occasion,Dell,gris,3.10ghz,8GO,128GO,170 000 F Cfa
1738673433-60,https://www.expat-dakar.com/ordinateurs?page=240,"ORDINATEUR COMPLET ECRAN 19 POUCES
                                D'occasionHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 19:01
                                    
                    35 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/ordinateur-complet-ecran-19-pouces-4685221,D'occasion,HP,Gris Noir,2.6ghz,4go,80go,35 000 F Cfa
1738673443-63,https://www.expat-dakar.com/ordinateurs?page=240,"Core i7.NVIDIA 730.24""
                                D'occasionLenovo
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        5. janv., 19:58
                                    
                    195 000 F Cfa
                        
                        776719695
                    
                        773870030
                    
                        778604359",https://www.expat-dakar.com/annonce/core-i7nvidia-73024-2872030,D'occasion,Lenovo,Noir,i7 3.4ghz,16go,500go,195 000 F Cfa
1738673448-65,https://www.expat-dakar.com/ordinateurs?page=240,"Hp 6300 core I5+19
                                NeufHP
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        dimanche, 18:57
                                    
                    240 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/hp-6300-core-i519-2746510,Neuf,HP,Noire,3GHZ,4GO,500GO,240 000 F Cfa
1738673456-67,https://www.expat-dakar.com/ordinateurs?page=240,"HP ELITEBOOK 840 G3 I5
                                RéconditionnéHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 19:25
                                    
                    125 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/hp-elitebook-840-g3-i5-4780258,Réconditionné,HP,gris,CORE I5 6Generation,8GO,256ssd,125 000 F Cfa
1738673459-68,https://www.expat-dakar.com/ordinateurs?page=240,"hp probook 450 G8 CORE I5 11TH
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:20
                                    
                                            Vendeur vérifié
                                        
                    625 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-probook-450-g8-core-i5-11th-3637403,Neuf,HP,Noir,i51th,8,512Go SSD,625 000 F Cfa
1738673470-71,https://www.expat-dakar.com/ordinateurs?page=239,"DELL latitude 7490 i5 8th Gen
                                VenantDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        24. déc. '24, 21:27
                                    
                    170 000 F Cfa
                        
                        775579621
                    
                        779451952
                    
                        338421708",https://www.expat-dakar.com/annonce/dell-latitude-7490-i5-8th-gen-4978262,Venant,Dell,Noire,i5 (2.5 GHz),16,256,170 000 F Cfa
1738673475-73,https://www.expat-dakar.com/ordinateurs?page=239,"unité central Lenovo, DELL et HP core i5
                                VenantLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        24. déc. '24, 22:34
                                    
                    80 000 F Cfa
                        
                        775579621
                    
                        779451952
                    
                        338421708",https://www.expat-dakar.com/annonce/unite-central-lenovo-dell-et-hp-core-i5-4983152,Venant,Lenovo,Noire,i5 (3.5 GHz),8,500,80 000 F Cfa
1738673478-74,https://www.expat-dakar.com/ordinateurs?page=239,"HP ProBook 640 G2 core i5
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        21. nov. '24, 13:31
                                    
                    160 000 F Cfa
                        
                        775579621
                    
                        779451952
                    
                        338421708",https://www.expat-dakar.com/annonce/hp-probook-640-g2-core-i5-4982779,Neuf,HP,Noire,i5 (2.5 GHz),8,256,160 000 F Cfa
1738673483-76,https://www.expat-dakar.com/ordinateurs?page=239,"HP 430 G8 I5 11Th
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:18
                                    
                                            Vendeur vérifié
                                        
                    550 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-430-g8-i5-11th-4120030,Neuf,HP,NOIR et GRIS,i7 11th 3.6 GHZ,8,256 go ssd,550 000 F Cfa
1738673488-78,https://www.expat-dakar.com/ordinateurs?page=239,"Ordinateur de bureau ALL IN ONE hp aio df1063 i3 11TH
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:17
                                    
                                            Vendeur vérifié
                                        
                    510 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/ordinateur-de-bureau-all-in-one-hp-aio-df1063-i3-11th-4977989,Neuf,HP,Noir,I3 11TH GEN,4,1TO,510 000 F Cfa
1738673493-79,https://www.expat-dakar.com/ordinateurs?page=238,"Ordinateur Hp X360 14T-DY000 Ecran 14""Tactile + stylet
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:16
                                    
                                            Vendeur vérifié
                                        
                    850 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/ordinateur-hp-x360-14t-dy000-ecran-14tactile-stylet-4862618,Neuf,HP,Gris,i7 11th gen,16Go,512 GO SSD,850 000 F Cfa
1738673501-81,https://www.expat-dakar.com/ordinateurs?page=238,"All In One Hp dp1037nh 24'' pouces Tactile
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:12
                                    
                                            Vendeur vérifié
                                        
                    810 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/all-in-one-hp-dp1037nh-24-pouces-tactile-3724228,Neuf,HP,Gris métal,i7 11th,16 Go,2To,810 000 F Cfa
1738673512-83,https://www.expat-dakar.com/ordinateurs?page=238,"HP 15 Core i5.11eme
                                NeufHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 19:45
                                    
                    390 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/hp-15-core-i511eme-3994971,Neuf,HP,Noir,2.42ghz,8go,1tera,390 000 F Cfa
1738673514-84,https://www.expat-dakar.com/ordinateurs?page=238,"CORE I5.4GO.500GO.19""
                                D'occasionDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 18:52
                                    
                    50 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/core-i54go500go19-4650017,D'occasion,Dell,NOIR,3.20ghz,4Go,500GO,50 000 F Cfa
1738673525-87,https://www.expat-dakar.com/ordinateurs?page=238,"ORDINATEUR COMPLET avec ONDULEUR+Wi-Fi
                                D'occasionHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 18:51
                                    
                    75 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/ordinateur-complet-avec-onduleurwi-fi-5165090,D'occasion,HP,NOIR,3.3Ghz,4go,250go,75 000 F Cfa
1738673527-88,https://www.expat-dakar.com/ordinateurs?page=238,"Hp Probook 11 g2 tactile
                                VenantHP
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        12. oct. '24, 21:45
                                    
                    70 000 F Cfa
                        
                        773267319",https://www.expat-dakar.com/annonce/hp-probook-11-g2-tactile-5179750,Venant,HP,Gris,Core 2,4,5000,70 000 F Cfa
1738673549-95,https://www.expat-dakar.com/ordinateurs?page=237,"ASUS X543U I3 10TH
                                NeufASUS
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:01
                                    
                                            Vendeur vérifié
                                        
                    340 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/asus-x543u-i3-10th-5239878,Neuf,ASUS,Noir,i3 10th,8,1 To,340 000 F Cfa
1738673551-96,https://www.expat-dakar.com/ordinateurs?page=237,"Ordinateur Hp Pavilion CS3153CL Ecran 15.6'' Pouces tactile
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 14:01
                                    
                                            Vendeur vérifié
                                        
                    470 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/ordinateur-hp-pavilion-cs3153cl-ecran-156-pouces-tactile-3878306,Neuf,HP,Grise,i5 10th,12Go,512 Go SSD,470 000 F Cfa
1738673571-102,https://www.expat-dakar.com/ordinateurs?page=236,"HP 240 G8  CORE I5
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        31. déc. '24, 13:11
                                    
                                            Vendeur vérifié
                                        
                    399 000 F Cfa
                        
                        770939191
                    
                        338420531",https://www.expat-dakar.com/annonce/hp-240-g8-core-i5-5401229,Neuf,HP,GRIS,CORE I5,8 GO,512 SSD,399 000 F Cfa
1738673574-103,https://www.expat-dakar.com/ordinateurs?page=236,"Ordinateur Lenovo Ideapad 3 14ITL6
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 13:58
                                    
                                            Vendeur vérifié
                                        
                    410 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/ordinateur-lenovo-ideapad-3-14itl6-5239777,Neuf,Lenovo,Noir,Noir,8,512Go ssd,410 000 F Cfa
1738673579-105,https://www.expat-dakar.com/ordinateurs?page=236,"Hp All In One df1063ny i3 11th gen Ram 4Go Rom 1To Ecran 24""
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 13:57
                                    
                                            Vendeur vérifié
                                        
                    510 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-all-in-one-df1063ny-i3-11th-gen-ram-4go-rom-1to-ecran-24-5184151,Neuf,HP,noir,core i3 11th,4Go,1  To,510 000 F Cfa
1738673582-106,https://www.expat-dakar.com/ordinateurs?page=236,"HP 15 DUAL CORE
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 11:10
                                    
                                            Vendeur vérifié
                                        
                    224 900 F Cfa
                        
                        770939191
                    
                        338420531",https://www.expat-dakar.com/annonce/hp-15-dual-core-5471568,Neuf,HP,GRIS,DUAL CORE,8GO,512 SSD,224 900 F Cfa
1738673584-107,https://www.expat-dakar.com/ordinateurs?page=236,"All In One Hp Pro 440 G6 i5 Ram 8Go Rom 512GB SSD Ecran 24""
                                VenantHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        27. déc. '24, 13:56
                                    
                                            Vendeur vérifié
                                        
                    675 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/all-in-one-hp-pro-440-g6-i5-ram-8go-rom-512gb-ssd-ecran-24-5184156,Venant,HP,Noir,i5 10th,8,512 Go SSD,675 000 F Cfa
1738673632-113,https://www.expat-dakar.com/ordinateurs?page=235,"GAMER DELL T7600. 7810 OU HP Z640
                                RéconditionnéDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        5. janv., 16:38
                                    
                    400 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/gamer-dell-t7600-7810-ou-hp-z640-5311788,Réconditionné,Dell,NOIR,INTEL XEON,16GO,756GO,400 000 F Cfa
1738673635-114,https://www.expat-dakar.com/ordinateurs?page=235,"GAMER NVIDIA GTX
                                RéconditionnéDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        dimanche, 19:57
                                    
                    350 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/gamer-nvidia-gtx-5165116,Réconditionné,Dell,NOIR,3.6GHZ,16GO,1056GO,350 000 F Cfa
1738673637-115,https://www.expat-dakar.com/ordinateurs?page=235,"HP TACTILE 15-DY2703DX i5 11TH
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 13:06
                                    
                                            Vendeur vérifié
                                        
                    440 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-tactile-15-dy2703dx-i5-11th-5498173,Neuf,HP,silver,i5 11th,8,512 GO SSD,440 000 F Cfa
1738673640-116,https://www.expat-dakar.com/ordinateurs?page=235,"HP 840 G8 tactile i5 11th ram 32
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 13:06
                                    
                                            Vendeur vérifié
                                        
                    610 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-840-g8-tactile-i5-11th-ram-32-5545963,Neuf,HP,gris métal,i5 11th,32,256 go ssd,610 000 F Cfa
1738673645-118,https://www.expat-dakar.com/ordinateurs?page=235,"Ordinateur Hp 15-DY2703DX  15.6"" TACTILE
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 13:05
                                    
                                            Vendeur vérifié
                                        
                    440 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/ordinateur-hp-15-dy2703dx-156-tactile-3369570,Neuf,HP,gris,i5 11th,8 Go,512Go SSD,440 000 F Cfa
1738673651-119,https://www.expat-dakar.com/ordinateurs?page=234,"Dell Vostro 3500 I7 11th gen
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 13:04
                                    
                                            Vendeur vérifié
                                        
                    540 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/dell-vostro-3500-i7-11th-gen-3684412,Neuf,Dell,noir,i7 11th gen,12 GO,512 GO SSD,540 000 F Cfa
1738673654-120,https://www.expat-dakar.com/ordinateurs?page=234,"HP 250 G8 i7 11TH
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        26. déc. '24, 13:04
                                    
                                            Vendeur vérifié
                                        
                    510 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-250-g8-i7-11th-3925039,Neuf,HP,Noir,i7 11th,8,512 go ssd,510 000 F Cfa
1738673659-122,https://www.expat-dakar.com/ordinateurs?page=234,"HP All in One 200 G4 i3 1TB 22 Pouces
                                NeufHP
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        2. janv., 12:04
                                    
                    425 000 F Cfa
                        
                        783181818
                    
                        783088888",https://www.expat-dakar.com/annonce/hp-all-in-one-200-g4-i3-1tb-22-pouces-5593312,Neuf,HP,Noire,Core i3,8,1000,425 000 F Cfa
1738673661-123,https://www.expat-dakar.com/ordinateurs?page=234,"TOSHIBA satellite core 2
                                VenantToshiba
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        5. déc. '24, 20:05
                                    
                    45 000 F Cfa
                        
                        773267319",https://www.expat-dakar.com/annonce/toshiba-satellite-core-2-5556285,Venant,Toshiba,Noir,Core 2,4gb,120g,45 000 F Cfa
1738673665-124,https://www.expat-dakar.com/ordinateurs?page=234,"HP ALL IN ONE 24 POUCES CORE i5 512GB SSD
                                NeufHP
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 15:03
                                    
                    700 000 F Cfa
                        
                        783181818
                    
                        783088888",https://www.expat-dakar.com/annonce/hp-all-in-one-24-pouces-core-i5-512gb-ssd-5593542,Neuf,HP,BLANC,i5,12,512,700 000 F Cfa
1738673667-125,https://www.expat-dakar.com/ordinateurs?page=234,"Lenovo ThinkPad L580 core i5 8th Gen
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        10. janv., 16:15
                                    
                    150 000 F Cfa
                        
                        775579621
                    
                        779451952
                    
                        338421708",https://www.expat-dakar.com/annonce/lenovo-thinkpad-l580-core-i5-8th-gen-5380790,Neuf,Lenovo,Noire,i5,8Go,256 / 500,150 000 F Cfa
